size, insert, merge
2, 0, 0
4, 0, 0
6, 0, 0
8, 0, 0
10, 0, 0
12, 0, 0
14, 0, 0
16, 0, 0
18, 0, 0
20, 0, 0
22, 0, 0
24, 0, 0
26, 0, 0
28, 0, 0
30, 0, 0
32, 0, 0
34, 0, 0
36, 0, 0
38, 0, 0
40, 0, 0
42, 0, 0
44, 0, 0
46, 0, 0
48, 0, 0
50, 0, 0
52, 0, 0
54, 0, 0
56, 0, 0
58, 0, 0
60, 0, 1
62, 0, 1
64, 0, 1
66, 0, 1
68, 0, 1
70, 0, 1
72, 0, 1
74, 0, 1
76, 0, 1
78, 0, 1
80, 0, 1
82, 0, 1
84, 0, 1
86, 0, 1
88, 0, 1
90, 0, 1
92, 0, 1
94, 0, 1
96, 0, 1
98, 0, 1
100, 0, 1
